Corpus d'apprentissage,Corpus de test,Pr�cision train �poque 1,Pr�cision train �poque 2,Pr�cision train �poque 3,Pr�cision train �poque 4,Pr�cision train �poque 5, Pr�cision train �poque 6, Pr�cision train �poque 7, Pr�cision train �poque 8, Pr�cision train �poque 9, Pr�cision train �poque 10,Pr�cision globale,Pr�cision OOV,Pr�cision sur les mots ambigus,Pourcentage OOV,KL divergence,Perplexit�
ftb,foot,0.9239781289,0.957099053,0.9655019583,0.9700855667,0.9731586421,0.9758473005,0.9772334633,0.9782985247,0.9794585598,0.9802861872,0.6429746157,0.2014480409,0.8265895954,4.825450658,0.0363862452,8.5167729875
ftb,ftb,0.9239781289,0.957099053,0.9655019583,0.9700855667,0.9731586421,0.9758473005,0.9772334633,0.9782985247,0.9794585598,0.9802861872,0.9463055959,0.7212336892,0.9220013899,7.6418328602,-0.0217393339,10.7378044039
ftb,gsd,0.9239781289,0.957099053,0.9655019583,0.9700855667,0.9731586421,0.9758473005,0.9772334633,0.9782985247,0.9794585598,0.9802861872,0.8892424553,0.5757906216,0.881073577,2.9933276809,-0.0050026527,4.2553192893
ftb,natdis,0.9239781289,0.957099053,0.9655019583,0.9700855667,0.9731586421,0.9758473005,0.9772334633,0.9782985247,0.9794585598,0.9802861872,0.7843739621,0.2483221477,0.8689088477,2.2302503041,0.0138776492,4.6326519906
ftb,foot,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.6406864498,0.2078364566,0.8076923077,4.825450658,0.0363862452,8.5167729875
ftb,ftb,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9446538702,0.7200474496,0.9194996525,7.6418328602,-0.0217393339,10.7378044039
ftb,gsd,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8918086635,0.5877862595,0.8806108283,2.9933276809,-0.0050026527,4.2553192893
ftb,natdis,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7842909332,0.2478747204,0.8557232945,2.2302503041,0.0138776492,4.6326519906
ftb,partut,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9161033797,0.6442307692,0.8914858097,0.2727909463,-0.0023727478,3.3973421146
ftb,pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8347419007,0.5263157895,0.7994750164,6.9229918531,-0.0094000458,17.4604339295
ftb,sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.9132443532,0.68743818,0.9034369885,2.7352821912,-0.0057456749,12.6714029747
ftb,spoken,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7816183816,0.4503311258,0.7110719875,1.5888229439,-0.003592405,10.2917213947
ftb,foot_ftb,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.8969211076,0.3871280277,0.9070738517,12.3751244148,-0.0148120928,9.5358736296
ftb,foot_gsd,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.74379399,0.2699091395,0.8434240363,7.6860692299,0.0161710633,10.7468847587
ftb,foot_natdis,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7071343501,0.2207473669,0.8335217347,6.7460463745,0.0409108393,6.4279455806
ftb,foot_partut,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.6826666667,0.2172916667,0.8253160112,5.090868876,0.0285554119,8.2459780377
ftb,foot_pud,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7635548094,0.3271177411,0.8019122981,11.586242489,0.0033390076,11.732446601
ftb,foot_sequoia,0.9242110405,0.957286739,0.9651039735,0.9701149633,0.973246832,0.9753362519,0.9772289407,0.9783460116,0.9794472535,0.9804263864,0.7525816649,0.2927983179,0.8543589744,7.4906919305,0.0151755499,9.7868300632
